x,y
-7.793800000000014,2.2469000000000072
-7.793750000000014,2.2468750000000073
-7.793655002332894,2.246850458675177
-7.793515925206139,2.246827477875853
-7.793333699088327,2.246807408374233
-7.793109281359957,2.2467918234311144
-7.792843671667669,2.2467824913996335
-7.792537927451158,2.2467813495504267
-7.792193179004936,2.2467904767849682
-7.791810643496291,2.2468120654825783
-7.79139163827698,2.2468483980683023
-7.79093759033382,2.2469018102278415
-7.7904500482202605,2.246974680776018
-7.789930684229832,2.2470693828781036
-7.789381302585281,2.24718827761525
-7.788803840726317,2.247333685204893
-7.788200363194659,2.247507845567743
-7.787573062799667,2.247712912426737
-7.786924168252013,2.247950734405713
-7.786256055905768,2.2482231539667836
-7.785571294775883,2.2485320586383533
-7.784872486007027,2.248879046268768
-7.784162133036898,2.249265264458986
-7.783442883232996,2.2496918665997936
-7.7827175664985875,2.250160028770566
-7.7819889304142835,2.250670569066501
-7.781259701504033,2.2512240816034894
-7.78053259068616,2.251820969295552
-7.7798102519585886,2.2524614208230735
-7.779095040584105,2.2531452100029004
-7.778389625495532,2.253872314978679
-7.777696402351763,2.2546423609583304
-7.7770176443772785,2.2554548011925624
-7.776355218883803,2.256308743380718
-7.775711043584538,2.2572033222687096
-7.775086852045366,2.2581375386505855
-7.774484237080291,2.2591103083260293
-7.773904614420289,2.260120458109699
-7.773349195987235,2.2611667322161497
-7.772819032580141,2.2622478319095816
-7.77231529855341,2.2633625418207255
-7.7718387532708135,2.2645095070259154
-7.771389664327372,2.26568725452202
-7.770968666125905,2.266894502879772
-7.770575979705037,2.2681298954591274
-7.770211660264758,2.269392099982569
-7.769875301492949,2.270679752899308
-7.769566869984848,2.2719916581857875
-7.769285948602019,2.273326613463348
-7.7690320025251065,2.274683477422793
-7.7688040878049405,2.2760611351842925
-7.768601611571615,2.2774586047398513
-7.768423429165411,2.278874921972606
-7.768268717250681,2.280309235825176
-7.768136155687111,2.2817607337983707
-7.768024724856622,2.2832286988783386
-7.767933143244204,2.284712469816187
-7.7678600815043986,2.286211452282934
-7.767804133555513,2.287725114598381
-7.7677638578967025,2.289252984489563
-7.76773760509906,2.2907946468558036
